"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
6,18,0.02252463
6,21,0.03983077
6,24,0.06376792
6,27,0.0946425
6,30,0.1323329
6,33,0.1763432
6,36,0.2258847
6,39,0.2799676
6,42,0.3374911
6,45,0.3973223
6,48,0.4583575
6,51,0.5195695
6,54,0.580038
6,57,0.6389675
6,60,0.6956941
6,63,0.7496846
6,66,0.8005288
6,69,0.84793
6,72,0.8916929
6,75,0.9317092
6,78,0.9679435
6,81,1.000421
6,84,1.029217
6,87,1.054446
6,90,1.076253
6,93,1.094803
6,96,1.110277
6,99,1.122865
6,102,1.132763
6,105,1.140167
6,108,1.14527
6,111,1.148262
6,114,1.149327
6,117,1.14864
6,120,1.146369
6,135,1.116468
6,150,1.066759
6,165,1.008204
6,180,0.9475964
6,195,0.8888169
6,210,0.8338444
6,225,0.7834808
6,240,0.7378416
6,255,0.696673
6,270,0.659548
6,285,0.625984
6,300,0.5955071
6,315,0.5676857
6,330,0.5421427
6,345,0.5185586
6,360,0.4966669
6,375,0.4762479
6,390,0.4571216
6,405,0.4391406
6,420,0.4221838
6,435,0.4061513
6,450,0.39096
6,465,0.3765398
6,480,0.3628312
6,495,0.349783
6,510,0.3373505
6,525,0.3254943
6,540,0.3141794
6,555,0.3033742
6,570,0.2930503
6,585,0.2831816
6,600,0.2737443
6,615,0.2647166
6,630,0.2560779
6,645,0.2478096
6,660,0.2398941
6,675,0.2323149
6,690,0.2250566
6,705,0.2181046
6,720,0.2114454
6,735,0.2050658
6,750,0.1989534
6,765,0.1930965
6,780,0.1874837
6,795,0.1821042
6,810,0.1769477
6,825,0.1720043
6,840,0.1672642
6,855,0.1627184
6,870,0.158358
6,885,0.1541746
6,900,0.15016
6,915,0.1463065
6,930,0.1426064
6,945,0.1390528
6,960,0.1356386
6,975,0.1323574
6,990,0.1292027
6,1005,0.1261687
6,1020,0.1232496
6,1035,0.1204399
6,1050,0.1177344
6,1065,0.115128
6,1080,0.1126161
6,1095,0.110194
6,1110,0.1078575
6,1125,0.1056024
6,1140,0.1034248
6,1155,0.101321
6,1170,0.0992874
6,1185,0.09732068
6,1200,0.0954176
6,1215,0.09357512
6,1230,0.09179034
6,1245,0.0900605
6,1260,0.08838298
6,1275,0.08675531
6,1290,0.0851751
6,1305,0.08364016
6,1320,0.08214833
6,1335,0.08069761
6,1350,0.07928609
6,1365,0.07791196
6,1380,0.0765735
6,1395,0.0752691
6,1410,0.07399719
6,1425,0.07275635
6,1440,0.07154517
6,1455,0.07036235
6,1470,0.06920666
6,1485,0.06807692
6,1500,0.06697203
6,1515,0.06589094
6,1530,0.06483266
6,1545,0.06379624
6,1560,0.06278081
6,1575,0.06178554
6,1590,0.06080962
6,1605,0.05985231
6,1620,0.0589129
6,1635,0.05799074
6,1650,0.05708519
6,1665,0.05619565
6,1680,0.05532156
6,1695,0.0544624
6,1710,0.05361767
6,1725,0.05278689
6,1740,0.05196961
6,1755,0.05116543
6,1770,0.05037393
6,1785,0.04959476
6,1800,0.04882754
6,1815,0.04807196
6,1830,0.04732769
6,1845,0.04659443
6,1860,0.04587192
6,1875,0.04515987
6,1890,0.04445805
6,1905,0.04376622
6,1920,0.04308414
7,0,0
7,3,1.662314E-06
7,6,6.98299E-05
7,9,0.0004769331
7,12,0.001714645
7,15,0.004417012
7,18,0.009245389
7,21,0.01677842
7,24,0.02743429
7,27,0.04143064
7,30,0.05877705
7,33,0.07929295
7,36,0.1026429
7,39,0.1283811
7,42,0.1559972
7,45,0.1849564
7,48,0.2147319
7,51,0.2448284
7,54,0.2747981
7,57,0.3042473
7,60,0.3328407
7,63,0.360301
7,66,0.386407
7,69,0.4109888
7,72,0.4339225
7,75,0.4551255
7,78,0.4745506
7,81,0.4921813
7,84,0.5080262
7,87,0.5221153
7,90,0.5344954
7,93,0.5452269
7,96,0.5543807
7,99,0.5620354
7,102,0.5682753
7,105,0.5731878
7,108,0.5768626
7,111,0.5793892
7,114,0.5808567
7,117,0.5813525
7,120,0.5809616
7,135,0.5684499
7,150,0.5444403
7,165,0.5152187
7,180,0.4848171
7,195,0.4555509
7,210,0.4285617
7,225,0.4042563
7,240,0.3826235
7,255,0.3634418
7,270,0.3464077
7,285,0.3312067
7,300,0.3175491
7,315,0.3051848
7,330,0.2939057
7,345,0.2835429
7,360,0.2739608
7,375,0.2650515
7,390,0.256729
7,405,0.2489245
7,420,0.2415823
7,435,0.234657
7,450,0.2281111
7,465,0.2219128
7,480,0.2160352
7,495,0.2104548
7,510,0.2051509
7,525,0.2001054
7,540,0.1953015
7,555,0.1907244
7,570,0.1863602
7,585,0.1821964
7,600,0.1782213
7,615,0.1744241
7,630,0.1707948
7,645,0.1673239
7,660,0.1640029
7,675,0.1608236
7,690,0.1577785
7,705,0.1548605
7,720,0.1520629
7,735,0.1493796
7,750,0.1468048
7,765,0.144333
7,780,0.141959
7,795,0.1396779
7,810,0.137485
7,825,0.135376
7,840,0.1333466
7,855,0.1313927
7,870,0.1295106
7,885,0.1276964
7,900,0.1259468
7,915,0.1242583
7,930,0.1226276
7,945,0.1210516
7,960,0.1195275
7,975,0.1180522
7,990,0.116623
7,1005,0.1152375
7,1020,0.113893
7,1035,0.1125872
7,1050,0.1113179
7,1065,0.1100828
7,1080,0.1088799
7,1095,0.1077073
7,1110,0.1065631
7,1125,0.1054455
7,1140,0.104353
7,1155,0.1032839
7,1170,0.1022367
7,1185,0.1012101
7,1200,0.1002026
7,1215,0.09921312
7,1230,0.0982404
7,1245,0.09728334
7,1260,0.09634091
7,1275,0.09541212
7,1290,0.09449607
7,1305,0.0935919
7,1320,0.09269881
7,1335,0.09181604
7,1350,0.0909429
7,1365,0.09007875
7,1380,0.08922298
7,1395,0.08837503
7,1410,0.08753438
7,1425,0.08670057
7,1440,0.08587313
7,1455,0.08505169
7,1470,0.08423584
7,1485,0.08342526
7,1500,0.08261964
7,1515,0.08181868
7,1530,0.08102216
7,1545,0.08022981
7,1560,0.07944145
7,1575,0.07865689
7,1590,0.07787595
7,1605,0.0770985
7,1620,0.07632442
7,1635,0.07555359
7,1650,0.07478592
7,1665,0.07402132
7,1680,0.07325976
7,1695,0.07250115
7,1710,0.07174548
7,1725,0.0709927
7,1740,0.07024281
7,1755,0.0694958
7,1770,0.06875168
7,1785,0.06801043
7,1800,0.0672721
7,1815,0.06653669
7,1830,0.06580424
7,1845,0.06507478
7,1860,0.06434836
7,1875,0.06362502
7,1890,0.0629048
7,1905,0.06218778
7,1920,0.06147398
8,0,0
8,3,3.819897E-06
8,6,0.0001425993
8,9,0.0009411665
8,12,0.003322022
8,15,0.008398297
8,18,0.01720687
8,21,0.03049503
8,24,0.0485978
8,27,0.0714099
8,30,0.09843981
8,33,0.1289119
8,36,0.1618815
8,39,0.1963401
8,42,0.2312994
8,45,0.2658511
8,48,0.2992054
8,51,0.3307118
8,54,0.3598645
8,57,0.3862981
8,60,0.4097766
8,63,0.4301779
8,66,0.4474772
8,69,0.4617293
8,72,0.4730519
8,75,0.4816103
8,78,0.4876032
8,81,0.4912513
8,84,0.492787
8,87,0.4924463
8,90,0.4904622
8,93,0.4870597
8,96,0.4824519
8,99,0.4768378
8,102,0.4704005
8,105,0.4633063
8,108,0.4557046
8,111,0.4477279
8,114,0.4394928
8,117,0.4311005
8,120,0.4226379
8,135,0.3814625
8,150,0.3453797
8,165,0.3157668
8,180,0.2920984
8,195,0.2732425
8,210,0.2580538
8,225,0.2455842
8,240,0.2351173
8,255,0.2261363
8,270,0.2182766
8,285,0.2112834
8,300,0.2049775
8,315,0.1992317
8,330,0.1939539
8,345,0.1890758
8,360,0.1845453
8,375,0.180322
8,390,0.1763729
