"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,2736,0.345887
0,2742,0.3423869
0,2748,0.3389278
0,2754,0.3355093
0,2760,0.3321308
0,2766,0.3287919
0,2772,0.325492
0,2778,0.3222307
0,2784,0.3190074
0,2790,0.3158217
0,2796,0.3126732
0,2802,0.3095614
0,2808,0.3064857
0,2814,0.3034458
0,2820,0.3004412
0,2826,0.2974715
0,2832,0.2945362
0,2838,0.2916349
0,2844,0.2887672
0,2850,0.2859327
0,2856,0.2831309
0,2862,0.2803614
0,2868,0.2776238
0,2874,0.2749178
0,2880,0.2722429
0,2886,0.2696007
0,2892,0.2671139
0,2898,0.2659639
0,2904,0.2701177
0,2910,0.2865941
0,2916,0.3235526
0,2922,0.3877105
0,2928,0.4825625
0,2934,0.607915
0,2940,0.7604524
0,2946,0.9348074
0,2952,1.124671
0,2958,1.323675
0,2964,1.525972
0,2970,1.726532
0,2976,1.921234
0,2982,2.106831
0,2988,2.280857
0,2994,2.441497
0,3000,2.58748
0,3006,2.717971
0,3012,2.832498
0,3018,2.930892
0,3024,3.013246
0,3030,3.079883
0,3036,3.131338
0,3042,3.16834
0,3048,3.191787
0,3054,3.202725
0,3060,3.202318
0,3066,3.191816
0,3072,3.172513
0,3078,3.145714
0,3084,3.112692
0,3090,3.074659
0,3096,3.032735
0,3102,2.987934
0,3108,2.941144
0,3114,2.893131
0,3120,2.844536
0,3126,2.795882
0,3132,2.747584
0,3138,2.699965
0,3144,2.653264
0,3150,2.607652
0,3156,2.56324
0,3162,2.520095
0,3168,2.478247
0,3174,2.437698
0,3180,2.398432
0,3186,2.360415
0,3192,2.323603
0,3198,2.287945
0,3204,2.253389
0,3210,2.219877
0,3216,2.187353
0,3222,2.155764
0,3228,2.125056
0,3234,2.095178
0,3240,2.066082
0,3246,2.037724
0,3252,2.01006
0,3258,1.983052
0,3264,1.956664
0,3270,1.930863
0,3276,1.905617
0,3282,1.880897
0,3288,1.856679
0,3294,1.832937
0,3300,1.80965
0,3306,1.786798
0,3312,1.76436
0,3318,1.742321
0,3324,1.720665
0,3330,1.699376
0,3336,1.678442
0,3342,1.65785
0,3348,1.637587
0,3354,1.617644
0,3360,1.598011
0,3366,1.578677
0,3372,1.559635
0,3378,1.540877
0,3384,1.522393
0,3390,1.504179
0,3396,1.486225
0,3402,1.468528
0,3408,1.45108
0,3414,1.433875
0,3420,1.416909
0,3426,1.400176
0,3432,1.383671
0,3438,1.36739
0,3444,1.351329
0,3450,1.335482
0,3456,1.319846
0,3462,1.304418
0,3468,1.289193
0,3474,1.274168
0,3480,1.259338
0,3486,1.244702
0,3492,1.230256
0,3498,1.215996
0,3504,1.20192
0,3510,1.188025
0,3516,1.174307
0,3522,1.160764
0,3528,1.147394
0,3534,1.134193
0,3540,1.12116
0,3546,1.108291
0,3552,1.095584
0,3558,1.083037
0,3564,1.070648
0,3570,1.058414
0,3576,1.046334
0,3582,1.034404
0,3588,1.022623
0,3594,1.010989
0,3600,0.9995
0,3606,0.9881536
0,3612,0.9769478
0,3618,0.9658811
0,3624,0.9549513
0,3630,0.9441568
0,3636,0.9334956
0,3642,0.9229661
0,3648,0.9125663
0,3654,0.9022948
0,3660,0.8921496
0,3666,0.8821292
0,3672,0.872232
0,3678,0.8624563
0,3684,0.8528005
0,3690,0.8432632
0,3696,0.8338427
0,3702,0.8245375
0,3708,0.8153462
0,3714,0.8062673
0,3720,0.7972993
0,3726,0.7884409
0,3732,0.7796905
0,3738,0.7710469
0,3744,0.7625086
0,3750,0.7540744
