"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
61,14550,17.99204
61,14565,17.98067
61,14580,17.96932
61,14595,17.95797
61,14610,17.94662
61,14625,17.93529
61,14640,17.92396
61,14655,17.91264
61,14670,17.90132
61,14685,17.89001
61,14700,17.87872
61,14715,17.86742
61,14730,17.85614
61,14745,17.84486
61,14760,17.83359
61,14775,17.82232
61,14790,17.81106
61,14805,17.79981
61,14820,17.78857
61,14835,17.77733
61,14850,17.7661
61,14865,17.75488
61,14880,17.74367
61,14895,17.73246
61,14910,17.72126
61,14925,17.71006
61,14940,17.69888
61,14955,17.6877
61,14970,17.67653
61,14985,17.66536
61,15000,17.6542
61,15015,17.64305
61,15030,17.63191
61,15045,17.62077
61,15060,17.60964
61,15075,17.59852
61,15090,17.5874
61,15105,17.57629
61,15120,17.56519
61,15135,17.55409
61,15150,17.54301
61,15165,17.53193
61,15180,17.52085
61,15195,17.50978
61,15210,17.49872
61,15225,17.48767
61,15240,17.47663
61,15255,17.46559
61,15270,17.45455
61,15285,17.44353
61,15300,17.43251
61,15315,17.4215
61,15330,17.4105
61,15345,17.3995
61,15360,17.38851
61,15375,17.37752
61,15390,17.36655
61,15405,17.35558
61,15420,17.34462
61,15435,17.33366
61,15450,17.32271
61,15465,17.31177
61,15480,17.30083
61,15495,17.28991
61,15510,17.27898
61,15525,17.26807
61,15540,17.25716
61,15555,17.24626
61,15570,17.23537
61,15585,17.22448
61,15600,17.2136
61,15615,17.20273
61,15630,17.19186
61,15645,17.18101
61,15660,17.17015
61,15675,17.15931
61,15690,17.14847
61,15705,17.13764
61,15720,17.12681
61,15735,17.11599
61,15750,17.10518
61,15765,17.09438
61,15780,17.08358
61,15795,17.07279
61,15810,17.06201
61,15825,17.05123
61,15840,17.04046
61,15855,17.0297
61,15870,17.01894
61,15885,17.00819
61,15900,16.99745
62,0,0
62,3,0.00159113
62,6,0.02985168
62,9,0.1239396
62,12,0.3023427
62,15,0.5679025
62,18,0.9157168
62,21,1.337361
62,24,1.823215
62,27,2.363734
62,30,2.950054
62,33,3.574216
62,36,4.229208
62,39,4.908885
62,42,5.60787
62,45,6.321439
62,48,7.045422
62,51,7.776115
