"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
2,1260,0.0509413
2,1275,0.05077209
2,1290,0.05060213
2,1305,0.05043124
2,1320,0.05025925
2,1335,0.05008602
2,1350,0.04991139
2,1365,0.04973522
2,1380,0.04955739
2,1395,0.04937778
2,1410,0.04919629
2,1425,0.04901282
2,1440,0.04882727
3,0,0
3,3,3.533175E-07
3,6,1.696995E-05
3,9,0.0001273096
3,12,0.000486491
3,15,0.001312274
3,18,0.002855212
3,21,0.005363028
3,24,0.009048931
3,27,0.01406916
3,30,0.02051087
3,33,0.02838979
3,36,0.0376553
3,39,0.04820022
3,42,0.05987336
3,45,0.07249279
3,48,0.08585832
3,51,0.09976259
3,54,0.1140002
3,57,0.1283749
3,60,0.1427045
3,63,0.1568248
3,66,0.1705914
3,69,0.1838806
3,72,0.1965897
3,75,0.2086358
3,78,0.2199552
3,81,0.2305015
3,84,0.2402441
3,87,0.2491664
3,90,0.257264
3,93,0.264543
3,96,0.2710183
3,99,0.276712
3,102,0.2816519
3,105,0.2858708
3,108,0.2894044
3,111,0.2922911
3,114,0.2945707
3,117,0.296284
3,120,0.2974719
3,135,0.2969119
3,150,0.2887602
3,165,0.27654
3,180,0.2626568
3,195,0.2486022
3,210,0.2352099
3,225,0.2228786
3,240,0.2117386
3,255,0.2017664
3,270,0.1928614
3,285,0.1848919
3,300,0.1777234
3,315,0.1712321
3,330,0.1653115
3,345,0.1598728
3,360,0.1548444
3,375,0.1501688
3,390,0.1458004
3,405,0.1417026
3,420,0.1378465
3,435,0.1342083
3,450,0.1307686
3,465,0.1275112
3,480,0.1244224
3,495,0.1214904
3,510,0.1187048
3,525,0.1160564
3,540,0.1135371
3,555,0.1111393
3,570,0.1088564
3,585,0.1066821
3,600,0.1046105
3,615,0.1026363
3,630,0.1007544
3,645,0.09896003
3,660,0.09724883
3,675,0.09561653
3,690,0.09405916
3,705,0.09257293
3,720,0.09115428
3,735,0.08979976
3,750,0.08850615
3,765,0.08727035
3,780,0.08608942
3,795,0.08496053
3,810,0.083881
3,825,0.08284827
3,840,0.08185989
3,855,0.08091352
3,870,0.08000691
3,885,0.07913794
3,900,0.07830455
3,915,0.0775048
3,930,0.07673682
3,945,0.07599882
3,960,0.0752891
3,975,0.07460605
3,990,0.07394809
3,1005,0.07331374
3,1020,0.0727016
3,1035,0.07211032
3,1050,0.0715386
3,1065,0.07098521
3,1080,0.07044899
3,1095,0.06992882
3,1110,0.06942364
3,1125,0.06893244
3,1140,0.06845425
3,1155,0.06798817
3,1170,0.06753333
3,1185,0.0670889
3,1200,0.06665411
3,1215,0.0662282
3,1230,0.06581049
3,1245,0.06540029
3,1260,0.06499699
3,1275,0.06459999
3,1290,0.06420872
3,1305,0.06382267
3,1320,0.06344132
3,1335,0.06306421
3,1350,0.06269089
3,1365,0.06232095
3,1380,0.061954
3,1395,0.06158968
3,1410,0.06122763
3,1425,0.06086755
3,1440,0.06050913
4,0,0
4,3,6.748728E-08
4,6,3.375419E-06
4,9,2.538824E-05
4,12,9.624613E-05
4,15,0.0002569169
4,18,0.0005537464
4,21,0.001033165
4,24,0.00173754
4,27,0.002702377
4,30,0.003954661
4,33,0.005512079
4,36,0.007382944
4,39,0.009566643
4,42,0.01205438
4,45,0.01483021
4,48,0.01787214
4,51,0.02115339
4,54,0.02464356
4,57,0.02830976
4,60,0.03211773
4,63,0.03603271
4,66,0.04002034
4,69,0.0440473
4,72,0.04808189
4,75,0.05209446
4,78,0.05605774
4,81,0.05994705
4,84,0.06374042
4,87,0.06741861
4,90,0.07096519
4,93,0.07436632
4,96,0.07761079
4,99,0.08068976
4,102,0.08359666
4,105,0.086327
4,108,0.08887817
4,111,0.09124926
4,114,0.09344089
4,117,0.09545498
4,120,0.09729462
4,135,0.1040451
4,150,0.1073022
4,165,0.1079577
4,180,0.1068514
4,195,0.10467
4,210,0.1019223
4,225,0.09895587
4,240,0.0959882
4,255,0.09314302
4,270,0.09048097
4,285,0.08802345
4,300,0.08576933
4,315,0.08370583
4,330,0.08181524
4,345,0.08007871
4,360,0.07847825
4,375,0.07699758
4,390,0.07562251
4,405,0.07434087
4,420,0.07314228
4,435,0.072018
4,450,0.07096063
4,465,0.06996387
4,480,0.06902238
4,495,0.06813157
4,510,0.06728747
4,525,0.06648666
4,540,0.06572608
4,555,0.06500308
4,570,0.06431526
4,585,0.06366047
4,600,0.06303675
4,615,0.06244234
4,630,0.06187557
4,645,0.06133494
4,660,0.06081903
4,675,0.06032651
4,690,0.05985614
4,705,0.05940675
4,720,0.05897721
4,735,0.05856648
4,750,0.05817354
4,765,0.05779744
4,780,0.05743725
4,795,0.0570921
4,810,0.05676115
4,825,0.05644358
4,840,0.05613862
4,855,0.05584552
4,870,0.05556357
4,885,0.05529208
4,900,0.05503039
4,915,0.05477786
4,930,0.05453388
4,945,0.05429786
4,960,0.05406924
4,975,0.05384748
4,990,0.05363205
4,1005,0.05342245
4,1020,0.05321821
4,1035,0.05301886
4,1050,0.05282397
4,1065,0.05263311
4,1080,0.05244587
4,1095,0.05226189
4,1110,0.05208077
4,1125,0.05190217
4,1140,0.05172576
4,1155,0.05155121
4,1170,0.05137822
4,1185,0.0512065
4,1200,0.05103577
4,1215,0.05086578
4,1230,0.05069626
4,1245,0.050527
4,1260,0.05035775
4,1275,0.05018833
4,1290,0.05001852
4,1305,0.04984814
4,1320,0.04967702
4,1335,0.049505
4,1350,0.04933191
4,1365,0.04915763
4,1380,0.04898201
4,1395,0.04880493
4,1410,0.04862627
4,1425,0.04844594
4,1440,0.04826384
5,0,0
5,3,3.626879E-08
5,6,1.615788E-06
5,9,1.232642E-05
5,12,4.907115E-05
5,15,0.0001377588
5,18,0.0003096058
5,21,0.0005959361
5,24,0.001023429
5,27,0.001610836
5,30,0.002367358
5,33,0.003292457
5,36,0.004376723
5,39,0.005603486
5,42,0.006950759
5,45,0.008393187
5,48,0.009903904
5,51,0.0114561
5,54,0.01302424
5,57,0.01458499
5,60,0.01611775
5,63,0.01760498
5,66,0.01903232
5,69,0.02038847
5,72,0.02166504
