"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
3,480,0.2460902
3,495,0.2333941
3,510,0.2214841
3,525,0.210305
3,540,0.1998071
3,555,0.1899453
3,570,0.180678
3,585,0.1719671
3,600,0.1637775
3,615,0.1560764
3,630,0.1488332
3,645,0.1420196
3,660,0.1356089
3,675,0.1295764
3,690,0.1238988
3,705,0.1185543
3,720,0.1135224
3,735,0.108784
3,750,0.104321
3,765,0.1001165
3,780,0.09615466
3,795,0.09242057
3,810,0.08890022
3,825,0.08558045
3,840,0.0824489
3,855,0.07949396
3,870,0.07670473
3,885,0.07407096
3,900,0.07158303
3,915,0.06923191
3,930,0.06700911
3,945,0.06490666
3,960,0.06291709
3,975,0.06103336
3,990,0.05924888
3,1005,0.05755746
3,1020,0.05595329
3,1035,0.05443093
3,1050,0.05298525
3,1065,0.05161146
3,1080,0.05030505
3,1095,0.04906181
3,1110,0.04787776
3,1125,0.04674921
3,1140,0.04567267
3,1155,0.04464489
3,1170,0.0436628
3,1185,0.04272354
3,1200,0.04182442
3,1215,0.04096295
3,1230,0.04013675
3,1245,0.03934364
3,1260,0.03858155
3,1275,0.03784855
3,1290,0.03714284
3,1305,0.03646271
3,1320,0.03580661
3,1335,0.03517305
3,1350,0.03456066
3,1365,0.03396813
3,1380,0.03339428
3,1395,0.03283796
3,1410,0.03229814
3,1425,0.03177384
3,1440,0.03126413
4,0,0
4,3,1.115635E-05
4,6,0.0004300838
4,9,0.002786734
4,12,0.009358205
4,15,0.02243891
4,18,0.04391593
4,21,0.07506765
4,24,0.1164938
4,27,0.1681323
4,30,0.2293386
4,33,0.2990009
4,36,0.3756751
4,39,0.4577146
4,42,0.5433877
4,45,0.6309749
4,48,0.7188487
4,51,0.8055273
4,54,0.8897089
4,57,0.9702913
4,60,1.04638
4,63,1.117282
4,66,1.1825
4,69,1.241707
4,72,1.294735
4,75,1.341549
4,78,1.382227
4,81,1.416941
4,84,1.445932
4,87,1.4695
4,90,1.487981
4,93,1.501737
4,96,1.511145
4,99,1.516586
4,102,1.518435
4,105,1.517062
4,108,1.512819
4,111,1.506039
4,114,1.497038
4,117,1.486109
4,120,1.47352
4,135,1.393595
4,150,1.300545
4,165,1.207146
4,180,1.119422
4,195,1.039592
4,210,0.9679434
4,225,0.9038912
4,240,0.8465362
4,255,0.7949341
4,270,0.7482171
4,285,0.7056372
4,300,0.6665715
4,315,0.630512
4,330,0.5970481
4,345,0.5658494
4,360,0.5366494
4,375,0.5092325
4,390,0.4834224
4,405,0.4590737
4,420,0.4360649
4,435,0.4142932
4,450,0.3936703
4,465,0.3741193
4,480,0.3555726
4,495,0.3379694
4,510,0.3212554
4,525,0.3053806
4,540,0.2902993
4,555,0.2759694
4,570,0.2623514
4,585,0.2494087
4,600,0.2371067
4,615,0.225413
4,630,0.2142971
4,645,0.20373
4,660,0.1936844
4,675,0.1841345
4,690,0.1750556
4,705,0.1664246
4,720,0.1582192
4,735,0.1504185
4,750,0.1430026
4,765,0.1359524
4,780,0.12925
4,795,0.1228783
4,810,0.116821
4,825,0.1110625
4,840,0.1055882
4,855,0.100384
4,870,0.09543677
4,885,0.09073371
4,900,0.08626284
4,915,0.08201271
4,930,0.07797244
4,945,0.07413169
4,960,0.07048061
4,975,0.06700985
4,990,0.06371052
4,1005,0.06057415
4,1020,0.05759271
4,1035,0.05475854
4,1050,0.05206439
4,1065,0.04950332
4,1080,0.04706878
4,1095,0.04475452
4,1110,0.04255458
4,1125,0.04046333
4,1140,0.03847539
4,1155,0.03658565
4,1170,0.03478927
4,1185,0.03308162
4,1200,0.03145833
4,1215,0.02991522
4,1230,0.02844833
4,1245,0.02705389
4,1260,0.0257283
4,1275,0.02446819
4,1290,0.02327029
4,1305,0.02213153
4,1320,0.021049
4,1335,0.02001989
4,1350,0.01904159
4,1365,0.01811156
4,1380,0.01722742
4,1395,0.01638691
4,1410,0.01558785
4,1425,0.01482821
4,1440,0.01410603
5,0,0
5,3,1.379757E-05
5,6,0.0004716726
5,9,0.00297074
5,12,0.01014003
5,15,0.02506963
5,18,0.05070136
5,21,0.08934436
5,24,0.1423092
5,27,0.2096644
5,30,0.2901773
5,33,0.3814929
5,36,0.4805125
5,39,0.5838492
5,42,0.6882275
5,45,0.7907443
5,48,0.888991
5,51,0.9810851
5,54,1.065646
5,57,1.141743
5,60,1.208832
5,63,1.266704
5,66,1.315419
5,69,1.355256
5,72,1.386662
5,75,1.410209
5,78,1.42655
5,81,1.43639
5,84,1.440453
5,87,1.439464
5,90,1.434124
5,93,1.425104
5,96,1.413029
5,99,1.398474
5,102,1.38196
5,105,1.363953
5,108,1.344866
5,111,1.325055
5,114,1.30483
5,117,1.284452
5,120,1.264138
5,135,1.16866
5,150,1.089642
5,165,1.027906
5,180,0.9799192
5,195,0.9411646
5,210,0.9071823
5,225,0.8731277
5,240,0.831839
5,255,0.7722407
5,270,0.6983574
5,285,0.639159
5,300,0.596144
5,315,0.5606685
5,330,0.5291601
5,345,0.5004073
5,360,0.4738655
5,375,0.4492072
5,390,0.4262017
5,405,0.4046741
5,420,0.3844855
5,435,0.3655218
5,450,0.3476864
5,465,0.3308959
5,480,0.315077
5,495,0.3001642
5,510,0.2860982
5,525,0.2728248
5,540,0.2602947
5,555,0.2484618
5,570,0.2372839
5,585,0.2267213
5,600,0.2167372
5,615,0.2072972
5,630,0.198369
5,645,0.1899225
5,660,0.1819292
5,675,0.1743626
5,690,0.1671977
5,705,0.1604109
5,720,0.1539802
5,735,0.1478848
5,750,0.1421053
5,765,0.1366231
5,780,0.1314211
5,795,0.126483
5,810,0.1217935
5,825,0.1173382
5,840,0.1131036
5,855,0.109077
5,870,0.1052463
5,885,0.1016004
5,900,0.09812858
5,915,0.09482092
5,930,0.09166803
5,945,0.08866111
5,960,0.08579187
5,975,0.08305251
5,990,0.0804357
5,1005,0.07793455
5,1020,0.07554258
5,1035,0.0732537
5,1050,0.07106218
5,1065,0.06896263
5,1080,0.06694999
5,1095,0.06501952
5,1110,0.06316673
5,1125,0.06138742
5,1140,0.05967763
5,1155,0.05803367
5,1170,0.05645203
5,1185,0.05492944
5,1200,0.05346281
5,1215,0.05204923
5,1230,0.05068601
5,1245,0.04937055
5,1260,0.04810047
5,1275,0.0468735
5,1290,0.0456875
5,1305,0.04454049
5,1320,0.04343057
5,1335,0.04235598
5,1350,0.04131506
5,1365,0.04030624
5,1380,0.03932805
5,1395,0.03837911
5,1410,0.0374581
5,1425,0.0365638
5,1440,0.03569506
6,0,0
6,3,5.44781E-06
6,6,0.0001977987
6,9,0.001240088
6,12,0.004161943
6,15,0.0101567
6,18,0.02041715
6,21,0.03602204
6,24,0.05787056
6,27,0.08664079
6,30,0.1227539
6,33,0.1663433
6,36,0.2172342
6,39,0.2749419
6,42,0.3386956
6,45,0.407487
6,48,0.4801417
6,51,0.5554016
6,54,0.6320108
6,57,0.7087923
6,60,0.7847024
6,63,0.8588597
6,66,0.9305533
6,69,0.9992387
6,72,1.064524
6,75,1.126145
6,78,1.183939
6,81,1.237825
6,84,1.287796
6,87,1.333894
6,90,1.376195
6,93,1.414807
6,96,1.449869
6,99,1.481529
6,102,1.509944
6,105,1.535286
6,108,1.557732
6,111,1.577459
6,114,1.594639
6,117,1.609448
6,120,1.622063
6,135,1.657817
6,150,1.660955
6,165,1.645312
6,180,1.620165
6,195,1.590958
6,210,1.560109
6,225,1.527433
6,240,1.489674
6,255,1.437774
6,270,1.351415
6,285,1.225565
6,300,1.118906
6,315,1.043383
6,330,0.9822936
6,345,0.9285612
6,360,0.8797601
6,375,0.8347806
6,390,0.7929616
6,405,0.7538537
6,420,0.7171307
6,435,0.6825448
6,450,0.6499017
6,465,0.6190436
6,480,0.5898385
6,495,0.5621737
6,510,0.5359505
6,525,0.5110811
6,540,0.4874862
6,555,0.4650934
6,570,0.443836
6,585,0.4236524
6,600,0.404485
6,615,0.3862798
6,630,0.3689863
6,645,0.3525571
6,660,0.3369471
6,675,0.3221142
6,690,0.3080182
6,705,0.2946214
6,720,0.2818879
6,735,0.2697838
6,750,0.2582768
6,765,0.2473366
6,780,0.2369341
6,795,0.227042
6,810,0.2176341
6,825,0.2086859
6,840,0.200174
