"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
1,4545,0.2150684
1,4560,0.2119845
1,4575,0.2089446
1,4590,0.2059481
1,4605,0.2029945
1,4620,0.2000831
1,4635,0.1972133
1,4650,0.1943846
1,4665,0.1915963
1,4680,0.188848
1,4695,0.1861389
1,4710,0.1834686
1,4725,0.1808366
1,4740,0.1782422
1,4755,0.1756849
1,4770,0.1731643
1,4785,0.1706798
1,4800,0.1682308
1,4815,0.165817
1,4830,0.1634377
1,4845,0.1610925
1,4860,0.158781
1,4875,0.1565026
1,4890,0.1542568
1,4905,0.1520433
1,4920,0.1498615
1,4935,0.1477109
1,4950,0.1455913
1,4965,0.1435021
1,4980,0.1414428
1,4995,0.1394132
1,5010,0.1374126
1,5025,0.1354408
1,5040,0.1334973
1,5055,0.1315817
1,5070,0.1296937
1,5085,0.1278327
1,5100,0.1259986
1,5115,0.1241907
1,5130,0.1224089
1,5145,0.1206527
1,5160,0.1189218
1,5175,0.1172157
1,5190,0.1155342
1,5205,0.1138769
1,5220,0.1122434
1,5235,0.1106334
1,5250,0.1090466
1,5265,0.1074827
1,5280,0.1059413
1,5295,0.1044221
1,5310,0.1029247
1,5325,0.1014489
1,5340,0.09999442
1,5355,0.09856086
1,5370,0.09714796
1,5385,0.09575544
1,5400,0.09438298
1,5415,0.09303031
1,5430,0.09169714
1,5445,0.0903832
1,5460,0.08908821
1,5475,0.0878119
1,5490,0.08655401
1,5505,0.08531426
1,5520,0.08409239
1,5535,0.08288817
1,5550,0.08170133
1,5565,0.08053162
1,5580,0.07937879
1,5595,0.07824261
1,5610,0.07712284
1,5625,0.07601923
1,5640,0.07493157
1,5655,0.07385961
1,5670,0.07280314
1,5685,0.07176194
1,5700,0.07073577
1,5715,0.06972444
1,5730,0.06872772
1,5745,0.0677454
1,5760,0.06677728
1,5775,0.06582315
1,5790,0.06488281
1,5805,0.06395607
1,5820,0.06304273
1,5835,0.0621426
1,5850,0.06125547
1,5865,0.06038118
1,5880,0.05951952
1,5895,0.05867033
1,5910,0.05783342
1,5925,0.05700861
1,5940,0.05619574
1,5955,0.05539462
1,5970,0.05460509
1,5985,0.05382697
1,6000,0.05306011
2,0,0
2,3,0.001424942
2,6,0.0297631
2,9,0.132014
2,12,0.3379205
2,15,0.6578317
2,18,1.089506
2,21,1.623338
2,24,2.245793
2,27,2.941606
2,30,3.695214
2,33,4.49168
2,36,5.317232
2,39,6.159549
2,42,7.007859
2,45,7.852889
2,48,8.686734
2,51,9.502701
2,54,10.29514
2,57,11.05927
2,60,11.79109
2,63,12.48723
2,66,13.14493
2,69,13.76203
2,72,14.33694
2,75,14.86864
2,78,15.35676
2,81,15.80148
2,84,16.20356
2,87,16.56425
2,90,16.88523
2,93,17.16847
2,96,17.41619
2,99,17.63074
2,102,17.81455
2,105,17.97002
2,108,18.09955
2,111,18.20541
2,114,18.28978
2,117,18.35471
2,120,18.40207
2,135,18.43124
2,150,18.22442
2,165,17.88484
2,180,17.47729
2,195,17.04186
2,210,16.60201
2,225,16.16986
2,240,15.75031
2,255,15.34436
2,270,14.95132
2,285,14.57008
2,300,14.19962
2,315,13.83915
2,330,13.48809
2,345,13.14603
2,360,12.81268
2,375,12.48779
2,390,12.17117
2,405,11.86265
2,420,11.56204
2,435,11.26918
2,450,10.98391
2,465,10.70606
2,480,10.43546
2,495,10.17195
2,510,9.915358
2,525,9.66552
2,540,9.422272
2,555,9.18545
2,570,8.954894
2,585,8.730445
2,600,8.511946
2,615,8.299244
2,630,8.092188
2,645,7.890631
2,660,7.694428
2,675,7.503438
2,690,7.317523
2,705,7.136547
2,720,6.960379
2,735,6.788889
2,750,6.621953
2,765,6.459449
2,780,6.301256
2,795,6.147258
2,810,5.997343
2,825,5.851399
2,840,5.709321
2,855,5.571001
2,870,5.436339
2,885,5.305235
2,900,5.177593
2,915,5.053318
2,930,4.932319
2,945,4.814507
2,960,4.699794
2,975,4.588097
2,990,4.479333
2,1005,4.373423
2,1020,4.270288
2,1035,4.169852
2,1050,4.072043
2,1065,3.976787
2,1080,3.884017
2,1095,3.793662
2,1110,3.705658
2,1125,3.619941
2,1140,3.536448
2,1155,3.455117
2,1170,3.375891
2,1185,3.298711
2,1200,3.223521
2,1215,3.150268
2,1230,3.078898
2,1245,3.00936
2,1260,2.941603
2,1275,2.875579
2,1290,2.811241
2,1305,2.748542
2,1320,2.687438
2,1335,2.627886
2,1350,2.569843
2,1365,2.513267
2,1380,2.458119
2,1395,2.40436
2,1410,2.351952
2,1425,2.300858
2,1440,2.251043
2,1455,2.202471
2,1470,2.155109
2,1485,2.108924
2,1500,2.063884
2,1515,2.019957
2,1530,1.977115
2,1545,1.935326
2,1560,1.894563
2,1575,1.854799
2,1590,1.816005
2,1605,1.778156
2,1620,1.741226
2,1635,1.705191
2,1650,1.670026
2,1665,1.635708
2,1680,1.602214
2,1695,1.569522
2,1710,1.537611
2,1725,1.506459
2,1740,1.476047
2,1755,1.446354
2,1770,1.417362
2,1785,1.389051
2,1800,1.361404
2,1815,1.334403
2,1830,1.30803
2,1845,1.28227
2,1860,1.257106
2,1875,1.232522
2,1890,1.208502
2,1905,1.185033
2,1920,1.1621
2,1935,1.139688
2,1950,1.117784
2,1965,1.096374
2,1980,1.075447
2,1995,1.054989
2,2010,1.034987
2,2025,1.015432
2,2040,0.9963093
2,2055,0.9776098
2,2070,0.9593218
2,2085,0.941435
2,2100,0.923939
2,2115,0.906824
2,2130,0.8900801
2,2145,0.8736979
2,2160,0.8576683
2,2175,0.8419825
2,2190,0.8266315
2,2205,0.8116072
2,2220,0.7969013
2,2235,0.7825058
2,2250,0.7684129
2,2265,0.7546153
2,2280,0.7411055
2,2295,0.7278764
2,2310,0.7149212
2,2325,0.7022331
2,2340,0.6898055
2,2355,0.6776322
2,2370,0.6657068
2,2385,0.6540235
2,2400,0.6425763
2,2415,0.6313596
2,2430,0.6203679
2,2445,0.6095957
2,2460,0.5990379
2,2475,0.5886893
2,2490,0.578545
2,2505,0.5686002
2,2520,0.5588502
2,2535,0.5492905
2,2550,0.5399166
2,2565,0.5307241
2,2580,0.521709
2,2595,0.512867
2,2610,0.5041943
2,2625,0.4956869
2,2640,0.4873412
2,2655,0.4791534
2,2670,0.4711199
2,2685,0.4632374
2,2700,0.4555024
2,2715,0.4479116
2,2730,0.4404618
2,2745,0.4331499
2,2760,0.4259728
2,2775,0.4189277
2,2790,0.4120116
2,2805,0.4052217
2,2820,0.3985553
2,2835,0.3920097
2,2850,0.3855824
2,2865,0.3792707
2,2880,0.3730722
2,2895,0.3669846
2,2910,0.3610055
2,2925,0.3551326
2,2940,0.3493637
2,2955,0.3436967
2,2970,0.3381293
2,2985,0.3326596
2,3000,0.3272856
2,3015,0.3220052
2,3030,0.3168167
2,3045,0.3117181
2,3060,0.3067076
2,3075,0.3017834
2,3090,0.2969438
2,3105,0.2921872
2,3120,0.2875119
2,3135,0.2829162
2,3150,0.2783987
2,3165,0.2739577
2,3180,0.2695918
2,3195,0.2652996
2,3210,0.2610796
2,3225,0.2569304
2,3240,0.2528507
2,3255,0.2488391
2,3270,0.2448944
2,3285,0.2410152
2,3300,0.2372004
2,3315,0.2334487
2,3330,0.2297591
2,3345,0.2261302
2,3360,0.222561
2,3375,0.2190504
2,3390,0.2155973
2,3405,0.2122006
2,3420,0.2088594
2,3435,0.2055726
2,3450,0.2023393
2,3465,0.1991584
2,3480,0.1960291
2,3495,0.1929503
2,3510,0.1899213
2,3525,0.1869411
2,3540,0.1840089
2,3555,0.1811238
2,3570,0.178285
2,3585,0.1754916
2,3600,0.172743
2,3615,0.1700383
2,3630,0.1673767
2,3645,0.1647576
2,3660,0.1621801
2,3675,0.1596436
2,3690,0.1571474
2,3705,0.1546908
2,3720,0.152273
2,3735,0.1498936
2,3750,0.1475517
2,3765,0.1452468
2,3780,0.1429782
2,3795,0.1407454
2,3810,0.1385478
2,3825,0.1363847
2,3840,0.1342556
2,3855,0.1321599
2,3870,0.1300971
2,3885,0.1280667
2,3900,0.1260681
2,3915,0.1241007
2,3930,0.1221641
2,3945,0.1202578
2,3960,0.1183813
2,3975,0.116534
2,3990,0.1147156
2,4005,0.1129256
2,4020,0.1111634
2,4035,0.1094287
2,4050,0.107721
2,4065,0.1060399
2,4080,0.104385
2,4095,0.1027558
2,4110,0.1011519
2,4125,0.09957291
2,4140,0.09801847
2,4155,0.09648817
2,4170,0.09498163
2,4185,0.09349847
2,4200,0.09203833
2,4215,0.09060083
2,4230,0.08918563
2,4245,0.08779237
2,4260,0.08642071
2,4275,0.08507032
2,4290,0.08374086
2,4305,0.08243199
2,4320,0.08114342
2,4335,0.07987481
2,4350,0.07862584
2,4365,0.07739623
2,4380,0.07618567
2,4395,0.07499386
2,4410,0.0738205
2,4425,0.07266533
2,4440,0.07152805
2,4455,0.07040838
2,4470,0.06930607
2,4485,0.06822082
2,4500,0.0671524
2,4515,0.06610052
2,4530,0.06506495
2,4545,0.06404543
2,4560,0.06304171
2,4575,0.06205354
2,4590,0.0610807
2,4605,0.06012294
2,4620,0.05918003
2,4635,0.05825175
2,4650,0.05733787
2,4665,0.05643816
2,4680,0.05555242
2,4695,0.05468043
2,4710,0.05382197
2,4725,0.05297684
2,4740,0.05214484
2,4755,0.05132576
2,4770,0.05051941
2,4785,0.0497256
2,4800,0.04894412
2,4815,0.04817479
2,4830,0.04741744
2,4845,0.04667186
2,4860,0.04593788
2,4875,0.04521533
2,4890,0.04450403
2,4905,0.04380381
2,4920,0.04311449
2,4935,0.04243592
2,4950,0.04176793
2,4965,0.04111035
2,4980,0.04046303
2,4995,0.0398258
2,5010,0.03919853
2,5025,0.03858104
2,5040,0.0379732
2,5055,0.03737485
2,5070,0.03678585
2,5085,0.03620606
2,5100,0.03563533
2,5115,0.03507353
2,5130,0.03452052
2,5145,0.03397617
2,5160,0.03344034
2,5175,0.0329129
2,5190,0.03239372
2,5205,0.03188268
2,5220,0.03137965
